group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
HeapVecComparison,heap,29,,,18546721.0,ns,1
HeapVecComparison,heap,29,,,36722396.0,ns,2
HeapVecComparison,heap,29,,,55086735.0,ns,3
HeapVecComparison,heap,29,,,73439953.0,ns,4
HeapVecComparison,heap,29,,,91891466.0,ns,5
HeapVecComparison,heap,29,,,110238032.0,ns,6
HeapVecComparison,heap,29,,,128804128.0,ns,7
HeapVecComparison,heap,29,,,146994693.0,ns,8
HeapVecComparison,heap,29,,,165561991.0,ns,9
HeapVecComparison,heap,29,,,183877729.0,ns,10
HeapVecComparison,heap,29,,,202171615.0,ns,11
HeapVecComparison,heap,29,,,220652343.0,ns,12
HeapVecComparison,heap,29,,,238888162.0,ns,13
HeapVecComparison,heap,29,,,257143696.0,ns,14
HeapVecComparison,heap,29,,,275604946.0,ns,15
HeapVecComparison,heap,29,,,294176465.0,ns,16
HeapVecComparison,heap,29,,,312472906.0,ns,17
HeapVecComparison,heap,29,,,331003336.0,ns,18
HeapVecComparison,heap,29,,,349928518.0,ns,19
HeapVecComparison,heap,29,,,368253763.0,ns,20
HeapVecComparison,heap,29,,,386524808.0,ns,21
HeapVecComparison,heap,29,,,408661232.0,ns,22
HeapVecComparison,heap,29,,,424096907.0,ns,23
HeapVecComparison,heap,29,,,440897632.0,ns,24
HeapVecComparison,heap,29,,,458641429.0,ns,25
HeapVecComparison,heap,29,,,477287444.0,ns,26
HeapVecComparison,heap,29,,,495775346.0,ns,27
HeapVecComparison,heap,29,,,514572667.0,ns,28
HeapVecComparison,heap,29,,,532794559.0,ns,29
HeapVecComparison,heap,29,,,551470943.0,ns,30
HeapVecComparison,heap,29,,,569546511.0,ns,31
HeapVecComparison,heap,29,,,588091608.0,ns,32
HeapVecComparison,heap,29,,,606223331.0,ns,33
HeapVecComparison,heap,29,,,624290904.0,ns,34
HeapVecComparison,heap,29,,,643359663.0,ns,35
HeapVecComparison,heap,29,,,662107152.0,ns,36
HeapVecComparison,heap,29,,,680717572.0,ns,37
HeapVecComparison,heap,29,,,698807195.0,ns,38
HeapVecComparison,heap,29,,,716245998.0,ns,39
HeapVecComparison,heap,29,,,735150050.0,ns,40
HeapVecComparison,heap,29,,,753752545.0,ns,41
HeapVecComparison,heap,29,,,771984296.0,ns,42
HeapVecComparison,heap,29,,,794029980.0,ns,43
HeapVecComparison,heap,29,,,802793379.0,ns,44
HeapVecComparison,heap,29,,,827445103.0,ns,45
HeapVecComparison,heap,29,,,842144456.0,ns,46
HeapVecComparison,heap,29,,,859376411.0,ns,47
HeapVecComparison,heap,29,,,891072057.0,ns,48
HeapVecComparison,heap,29,,,896482147.0,ns,49
HeapVecComparison,heap,29,,,916057547.0,ns,50
HeapVecComparison,heap,29,,,931711171.0,ns,51
HeapVecComparison,heap,29,,,952521960.0,ns,52
HeapVecComparison,heap,29,,,969136536.0,ns,53
HeapVecComparison,heap,29,,,988482164.0,ns,54
HeapVecComparison,heap,29,,,1007458423.0,ns,55
HeapVecComparison,heap,29,,,1025752550.0,ns,56
HeapVecComparison,heap,29,,,1044107773.0,ns,57
HeapVecComparison,heap,29,,,1061616896.0,ns,58
HeapVecComparison,heap,29,,,1080898847.0,ns,59
HeapVecComparison,heap,29,,,1097577093.0,ns,60
HeapVecComparison,heap,29,,,1115911475.0,ns,61
HeapVecComparison,heap,29,,,1135363835.0,ns,62
HeapVecComparison,heap,29,,,1151143485.0,ns,63
HeapVecComparison,heap,29,,,1164774126.0,ns,64
HeapVecComparison,heap,29,,,1182887182.0,ns,65
HeapVecComparison,heap,29,,,1203222109.0,ns,66
HeapVecComparison,heap,29,,,1223784760.0,ns,67
HeapVecComparison,heap,29,,,1241259521.0,ns,68
HeapVecComparison,heap,29,,,1257953226.0,ns,69
HeapVecComparison,heap,29,,,1280192684.0,ns,70
HeapVecComparison,heap,29,,,1292165343.0,ns,71
HeapVecComparison,heap,29,,,1311847414.0,ns,72
HeapVecComparison,heap,29,,,1329425688.0,ns,73
HeapVecComparison,heap,29,,,1350685378.0,ns,74
HeapVecComparison,heap,29,,,1366708165.0,ns,75
HeapVecComparison,heap,29,,,1385604733.0,ns,76
HeapVecComparison,heap,29,,,1405783625.0,ns,77
HeapVecComparison,heap,29,,,1424172832.0,ns,78
HeapVecComparison,heap,29,,,1441336998.0,ns,79
HeapVecComparison,heap,29,,,1458925061.0,ns,80
HeapVecComparison,heap,29,,,1476509968.0,ns,81
HeapVecComparison,heap,29,,,1495460728.0,ns,82
HeapVecComparison,heap,29,,,1513669455.0,ns,83
HeapVecComparison,heap,29,,,1535976229.0,ns,84
HeapVecComparison,heap,29,,,1547255858.0,ns,85
HeapVecComparison,heap,29,,,1562952872.0,ns,86
HeapVecComparison,heap,29,,,1581835484.0,ns,87
HeapVecComparison,heap,29,,,1600758121.0,ns,88
HeapVecComparison,heap,29,,,1622176368.0,ns,89
HeapVecComparison,heap,29,,,1637857644.0,ns,90
HeapVecComparison,heap,29,,,1655416372.0,ns,91
HeapVecComparison,heap,29,,,1673088091.0,ns,92
HeapVecComparison,heap,29,,,1705212793.0,ns,93
HeapVecComparison,heap,29,,,1732794142.0,ns,94
HeapVecComparison,heap,29,,,1727629633.0,ns,95
HeapVecComparison,heap,29,,,1753209509.0,ns,96
HeapVecComparison,heap,29,,,1763307391.0,ns,97
HeapVecComparison,heap,29,,,1780140187.0,ns,98
HeapVecComparison,heap,29,,,1799667577.0,ns,99
HeapVecComparison,heap,29,,,1821262446.0,ns,100
