group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
HeapVecComparison,heap,7,,,2789533.0,ns,1
HeapVecComparison,heap,7,,,5542226.0,ns,2
HeapVecComparison,heap,7,,,8317683.0,ns,3
HeapVecComparison,heap,7,,,11094573.0,ns,4
HeapVecComparison,heap,7,,,13826957.0,ns,5
HeapVecComparison,heap,7,,,16559763.0,ns,6
HeapVecComparison,heap,7,,,19311996.0,ns,7
HeapVecComparison,heap,7,,,22088385.0,ns,8
HeapVecComparison,heap,7,,,24855775.0,ns,9
HeapVecComparison,heap,7,,,27656190.0,ns,10
HeapVecComparison,heap,7,,,30418961.0,ns,11
HeapVecComparison,heap,7,,,33132722.0,ns,12
HeapVecComparison,heap,7,,,35885938.0,ns,13
HeapVecComparison,heap,7,,,38635474.0,ns,14
HeapVecComparison,heap,7,,,41421912.0,ns,15
HeapVecComparison,heap,7,,,44094155.0,ns,16
HeapVecComparison,heap,7,,,46818384.0,ns,17
HeapVecComparison,heap,7,,,49602967.0,ns,18
HeapVecComparison,heap,7,,,52306510.0,ns,19
HeapVecComparison,heap,7,,,55043363.0,ns,20
HeapVecComparison,heap,7,,,57811827.0,ns,21
HeapVecComparison,heap,7,,,60597092.0,ns,22
HeapVecComparison,heap,7,,,63404869.0,ns,23
HeapVecComparison,heap,7,,,66125262.0,ns,24
HeapVecComparison,heap,7,,,69107937.0,ns,25
HeapVecComparison,heap,7,,,71733632.0,ns,26
HeapVecComparison,heap,7,,,74447684.0,ns,27
HeapVecComparison,heap,7,,,77130125.0,ns,28
HeapVecComparison,heap,7,,,79960266.0,ns,29
HeapVecComparison,heap,7,,,82722816.0,ns,30
HeapVecComparison,heap,7,,,85573044.0,ns,31
HeapVecComparison,heap,7,,,88284729.0,ns,32
HeapVecComparison,heap,7,,,90950020.0,ns,33
HeapVecComparison,heap,7,,,93748068.0,ns,34
HeapVecComparison,heap,7,,,96536478.0,ns,35
HeapVecComparison,heap,7,,,99248447.0,ns,36
HeapVecComparison,heap,7,,,102082543.0,ns,37
HeapVecComparison,heap,7,,,104693170.0,ns,38
HeapVecComparison,heap,7,,,107504434.0,ns,39
HeapVecComparison,heap,7,,,110232250.0,ns,40
HeapVecComparison,heap,7,,,113087967.0,ns,41
HeapVecComparison,heap,7,,,115786570.0,ns,42
HeapVecComparison,heap,7,,,118515719.0,ns,43
HeapVecComparison,heap,7,,,121350116.0,ns,44
HeapVecComparison,heap,7,,,124160919.0,ns,45
HeapVecComparison,heap,7,,,126836528.0,ns,46
HeapVecComparison,heap,7,,,129567410.0,ns,47
HeapVecComparison,heap,7,,,132198536.0,ns,48
HeapVecComparison,heap,7,,,135018325.0,ns,49
HeapVecComparison,heap,7,,,137706008.0,ns,50
HeapVecComparison,heap,7,,,140510148.0,ns,51
HeapVecComparison,heap,7,,,143159868.0,ns,52
HeapVecComparison,heap,7,,,147059463.0,ns,53
HeapVecComparison,heap,7,,,151688537.0,ns,54
HeapVecComparison,heap,7,,,152265429.0,ns,55
HeapVecComparison,heap,7,,,154465015.0,ns,56
HeapVecComparison,heap,7,,,157087144.0,ns,57
HeapVecComparison,heap,7,,,159868711.0,ns,58
HeapVecComparison,heap,7,,,162881233.0,ns,59
HeapVecComparison,heap,7,,,165665075.0,ns,60
HeapVecComparison,heap,7,,,168021865.0,ns,61
HeapVecComparison,heap,7,,,170867885.0,ns,62
HeapVecComparison,heap,7,,,173695509.0,ns,63
HeapVecComparison,heap,7,,,176415692.0,ns,64
HeapVecComparison,heap,7,,,179184005.0,ns,65
HeapVecComparison,heap,7,,,181947758.0,ns,66
HeapVecComparison,heap,7,,,184616455.0,ns,67
HeapVecComparison,heap,7,,,187429211.0,ns,68
HeapVecComparison,heap,7,,,190241056.0,ns,69
HeapVecComparison,heap,7,,,192978792.0,ns,70
HeapVecComparison,heap,7,,,196119644.0,ns,71
HeapVecComparison,heap,7,,,198741230.0,ns,72
HeapVecComparison,heap,7,,,203005660.0,ns,73
HeapVecComparison,heap,7,,,208132348.0,ns,74
HeapVecComparison,heap,7,,,210767922.0,ns,75
HeapVecComparison,heap,7,,,213485279.0,ns,76
HeapVecComparison,heap,7,,,216299498.0,ns,77
HeapVecComparison,heap,7,,,218978954.0,ns,78
HeapVecComparison,heap,7,,,221926464.0,ns,79
HeapVecComparison,heap,7,,,224812557.0,ns,80
HeapVecComparison,heap,7,,,227969369.0,ns,81
HeapVecComparison,heap,7,,,230361566.0,ns,82
HeapVecComparison,heap,7,,,233658993.0,ns,83
HeapVecComparison,heap,7,,,236326335.0,ns,84
HeapVecComparison,heap,7,,,239139582.0,ns,85
HeapVecComparison,heap,7,,,242035224.0,ns,86
HeapVecComparison,heap,7,,,243351756.0,ns,87
HeapVecComparison,heap,7,,,242862055.0,ns,88
HeapVecComparison,heap,7,,,245627743.0,ns,89
HeapVecComparison,heap,7,,,248310004.0,ns,90
HeapVecComparison,heap,7,,,251077437.0,ns,91
HeapVecComparison,heap,7,,,255552792.0,ns,92
HeapVecComparison,heap,7,,,256348955.0,ns,93
HeapVecComparison,heap,7,,,259232274.0,ns,94
HeapVecComparison,heap,7,,,261811433.0,ns,95
HeapVecComparison,heap,7,,,264784328.0,ns,96
HeapVecComparison,heap,7,,,267423470.0,ns,97
HeapVecComparison,heap,7,,,270050888.0,ns,98
HeapVecComparison,heap,7,,,272874575.0,ns,99
HeapVecComparison,heap,7,,,275785846.0,ns,100
