group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
HeapVecComparison,vec,11,,,1292223.0,ns,1
HeapVecComparison,vec,11,,,2612099.0,ns,2
HeapVecComparison,vec,11,,,3882844.0,ns,3
HeapVecComparison,vec,11,,,5229078.0,ns,4
HeapVecComparison,vec,11,,,6488242.0,ns,5
HeapVecComparison,vec,11,,,7749026.0,ns,6
HeapVecComparison,vec,11,,,9112714.0,ns,7
HeapVecComparison,vec,11,,,10326170.0,ns,8
HeapVecComparison,vec,11,,,11679738.0,ns,9
HeapVecComparison,vec,11,,,12904658.0,ns,10
HeapVecComparison,vec,11,,,14205477.0,ns,11
HeapVecComparison,vec,11,,,15550301.0,ns,12
HeapVecComparison,vec,11,,,16786138.0,ns,13
HeapVecComparison,vec,11,,,18115052.0,ns,14
HeapVecComparison,vec,11,,,19374855.0,ns,15
HeapVecComparison,vec,11,,,20691975.0,ns,16
HeapVecComparison,vec,11,,,22004317.0,ns,17
HeapVecComparison,vec,11,,,23307451.0,ns,18
HeapVecComparison,vec,11,,,24621848.0,ns,19
HeapVecComparison,vec,11,,,25852576.0,ns,20
HeapVecComparison,vec,11,,,27188982.0,ns,21
HeapVecComparison,vec,11,,,28409292.0,ns,22
HeapVecComparison,vec,11,,,29746370.0,ns,23
HeapVecComparison,vec,11,,,31008127.0,ns,24
HeapVecComparison,vec,11,,,32320840.0,ns,25
HeapVecComparison,vec,11,,,33593548.0,ns,26
HeapVecComparison,vec,11,,,34903053.0,ns,27
HeapVecComparison,vec,11,,,36195306.0,ns,28
HeapVecComparison,vec,11,,,37587970.0,ns,29
HeapVecComparison,vec,11,,,38786919.0,ns,30
HeapVecComparison,vec,11,,,40088450.0,ns,31
HeapVecComparison,vec,11,,,41332926.0,ns,32
HeapVecComparison,vec,11,,,42687335.0,ns,33
HeapVecComparison,vec,11,,,43985301.0,ns,34
HeapVecComparison,vec,11,,,45193817.0,ns,35
HeapVecComparison,vec,11,,,46513123.0,ns,36
HeapVecComparison,vec,11,,,47812359.0,ns,37
HeapVecComparison,vec,11,,,49133367.0,ns,38
HeapVecComparison,vec,11,,,50388492.0,ns,39
HeapVecComparison,vec,11,,,51830587.0,ns,40
HeapVecComparison,vec,11,,,52981636.0,ns,41
HeapVecComparison,vec,11,,,54304749.0,ns,42
HeapVecComparison,vec,11,,,55561606.0,ns,43
HeapVecComparison,vec,11,,,56884827.0,ns,44
HeapVecComparison,vec,11,,,58191800.0,ns,45
HeapVecComparison,vec,11,,,59462624.0,ns,46
HeapVecComparison,vec,11,,,60724902.0,ns,47
HeapVecComparison,vec,11,,,62018538.0,ns,48
HeapVecComparison,vec,11,,,63519365.0,ns,49
HeapVecComparison,vec,11,,,64626169.0,ns,50
HeapVecComparison,vec,11,,,65903706.0,ns,51
HeapVecComparison,vec,11,,,67258749.0,ns,52
HeapVecComparison,vec,11,,,68473075.0,ns,53
HeapVecComparison,vec,11,,,69809143.0,ns,54
HeapVecComparison,vec,11,,,71090657.0,ns,55
HeapVecComparison,vec,11,,,72458862.0,ns,56
HeapVecComparison,vec,11,,,73659325.0,ns,57
HeapVecComparison,vec,11,,,74937031.0,ns,58
HeapVecComparison,vec,11,,,76266786.0,ns,59
HeapVecComparison,vec,11,,,77554823.0,ns,60
HeapVecComparison,vec,11,,,78821198.0,ns,61
HeapVecComparison,vec,11,,,80122659.0,ns,62
HeapVecComparison,vec,11,,,81568871.0,ns,63
HeapVecComparison,vec,11,,,82725472.0,ns,64
HeapVecComparison,vec,11,,,84021723.0,ns,65
HeapVecComparison,vec,11,,,85284151.0,ns,66
HeapVecComparison,vec,11,,,86556127.0,ns,67
HeapVecComparison,vec,11,,,87843221.0,ns,68
HeapVecComparison,vec,11,,,89218742.0,ns,69
HeapVecComparison,vec,11,,,90408944.0,ns,70
HeapVecComparison,vec,11,,,91802329.0,ns,71
HeapVecComparison,vec,11,,,93008831.0,ns,72
HeapVecComparison,vec,11,,,94321613.0,ns,73
HeapVecComparison,vec,11,,,95833069.0,ns,74
HeapVecComparison,vec,11,,,96949074.0,ns,75
HeapVecComparison,vec,11,,,98232170.0,ns,76
HeapVecComparison,vec,11,,,99459231.0,ns,77
HeapVecComparison,vec,11,,,100887582.0,ns,78
HeapVecComparison,vec,11,,,102107109.0,ns,79
HeapVecComparison,vec,11,,,103407618.0,ns,80
HeapVecComparison,vec,11,,,104665748.0,ns,81
HeapVecComparison,vec,11,,,105991806.0,ns,82
HeapVecComparison,vec,11,,,107304640.0,ns,83
HeapVecComparison,vec,11,,,108758696.0,ns,84
HeapVecComparison,vec,11,,,109818735.0,ns,85
HeapVecComparison,vec,11,,,111260619.0,ns,86
HeapVecComparison,vec,11,,,112377014.0,ns,87
HeapVecComparison,vec,11,,,113814039.0,ns,88
HeapVecComparison,vec,11,,,114963867.0,ns,89
HeapVecComparison,vec,11,,,116376346.0,ns,90
HeapVecComparison,vec,11,,,117585805.0,ns,91
HeapVecComparison,vec,11,,,118962446.0,ns,92
HeapVecComparison,vec,11,,,120320324.0,ns,93
HeapVecComparison,vec,11,,,121568116.0,ns,94
HeapVecComparison,vec,11,,,122732649.0,ns,95
HeapVecComparison,vec,11,,,124110685.0,ns,96
HeapVecComparison,vec,11,,,125744268.0,ns,97
HeapVecComparison,vec,11,,,126665748.0,ns,98
HeapVecComparison,vec,11,,,127963060.0,ns,99
HeapVecComparison,vec,11,,,129223316.0,ns,100
