group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
HeapVecComparison,vec,39,,,12133251.0,ns,1
HeapVecComparison,vec,39,,,24064962.0,ns,2
HeapVecComparison,vec,39,,,36082797.0,ns,3
HeapVecComparison,vec,39,,,48087455.0,ns,4
HeapVecComparison,vec,39,,,60105149.0,ns,5
HeapVecComparison,vec,39,,,72173668.0,ns,6
HeapVecComparison,vec,39,,,84252605.0,ns,7
HeapVecComparison,vec,39,,,96374185.0,ns,8
HeapVecComparison,vec,39,,,108243850.0,ns,9
HeapVecComparison,vec,39,,,120262847.0,ns,10
HeapVecComparison,vec,39,,,132253870.0,ns,11
HeapVecComparison,vec,39,,,144582115.0,ns,12
HeapVecComparison,vec,39,,,156261957.0,ns,13
HeapVecComparison,vec,39,,,168443917.0,ns,14
HeapVecComparison,vec,39,,,180531912.0,ns,15
HeapVecComparison,vec,39,,,192661827.0,ns,16
HeapVecComparison,vec,39,,,204412118.0,ns,17
HeapVecComparison,vec,39,,,216627574.0,ns,18
HeapVecComparison,vec,39,,,228801240.0,ns,19
HeapVecComparison,vec,39,,,240674181.0,ns,20
HeapVecComparison,vec,39,,,252587849.0,ns,21
HeapVecComparison,vec,39,,,264758892.0,ns,22
HeapVecComparison,vec,39,,,276715580.0,ns,23
HeapVecComparison,vec,39,,,288598572.0,ns,24
HeapVecComparison,vec,39,,,300981739.0,ns,25
HeapVecComparison,vec,39,,,312695033.0,ns,26
HeapVecComparison,vec,39,,,324814758.0,ns,27
HeapVecComparison,vec,39,,,336819276.0,ns,28
HeapVecComparison,vec,39,,,348709120.0,ns,29
HeapVecComparison,vec,39,,,360908184.0,ns,30
HeapVecComparison,vec,39,,,372760067.0,ns,31
HeapVecComparison,vec,39,,,384794972.0,ns,32
HeapVecComparison,vec,39,,,396840979.0,ns,33
HeapVecComparison,vec,39,,,412496095.0,ns,34
HeapVecComparison,vec,39,,,421456735.0,ns,35
HeapVecComparison,vec,39,,,433585827.0,ns,36
HeapVecComparison,vec,39,,,444968700.0,ns,37
HeapVecComparison,vec,39,,,457189835.0,ns,38
HeapVecComparison,vec,39,,,469080380.0,ns,39
HeapVecComparison,vec,39,,,481403617.0,ns,40
HeapVecComparison,vec,39,,,493041067.0,ns,41
HeapVecComparison,vec,39,,,505498815.0,ns,42
HeapVecComparison,vec,39,,,517410621.0,ns,43
HeapVecComparison,vec,39,,,529548599.0,ns,44
HeapVecComparison,vec,39,,,541175772.0,ns,45
HeapVecComparison,vec,39,,,553446367.0,ns,46
HeapVecComparison,vec,39,,,565560614.0,ns,47
HeapVecComparison,vec,39,,,577376738.0,ns,48
HeapVecComparison,vec,39,,,589347805.0,ns,49
HeapVecComparison,vec,39,,,704426046.0,ns,50
HeapVecComparison,vec,39,,,613255684.0,ns,51
HeapVecComparison,vec,39,,,625851970.0,ns,52
HeapVecComparison,vec,39,,,637649371.0,ns,53
HeapVecComparison,vec,39,,,649443678.0,ns,54
HeapVecComparison,vec,39,,,661292683.0,ns,55
HeapVecComparison,vec,39,,,673627522.0,ns,56
HeapVecComparison,vec,39,,,685969655.0,ns,57
HeapVecComparison,vec,39,,,697486317.0,ns,58
HeapVecComparison,vec,39,,,709884955.0,ns,59
HeapVecComparison,vec,39,,,722393871.0,ns,60
HeapVecComparison,vec,39,,,733751557.0,ns,61
HeapVecComparison,vec,39,,,746307569.0,ns,62
HeapVecComparison,vec,39,,,771584766.0,ns,63
HeapVecComparison,vec,39,,,770248401.0,ns,64
HeapVecComparison,vec,39,,,781998540.0,ns,65
HeapVecComparison,vec,39,,,793617798.0,ns,66
HeapVecComparison,vec,39,,,809244351.0,ns,67
HeapVecComparison,vec,39,,,817884177.0,ns,68
HeapVecComparison,vec,39,,,830512256.0,ns,69
HeapVecComparison,vec,39,,,841608221.0,ns,70
HeapVecComparison,vec,39,,,853868348.0,ns,71
HeapVecComparison,vec,39,,,865389191.0,ns,72
HeapVecComparison,vec,39,,,877598984.0,ns,73
HeapVecComparison,vec,39,,,889807436.0,ns,74
HeapVecComparison,vec,39,,,901718118.0,ns,75
HeapVecComparison,vec,39,,,913578868.0,ns,76
HeapVecComparison,vec,39,,,930355957.0,ns,77
HeapVecComparison,vec,39,,,967031197.0,ns,78
HeapVecComparison,vec,39,,,1058973226.0,ns,79
HeapVecComparison,vec,39,,,976509176.0,ns,80
HeapVecComparison,vec,39,,,969887374.0,ns,81
HeapVecComparison,vec,39,,,986432090.0,ns,82
HeapVecComparison,vec,39,,,988407495.0,ns,83
HeapVecComparison,vec,39,,,999856111.0,ns,84
HeapVecComparison,vec,39,,,1011883524.0,ns,85
HeapVecComparison,vec,39,,,1023714657.0,ns,86
HeapVecComparison,vec,39,,,1035335005.0,ns,87
HeapVecComparison,vec,39,,,1051669237.0,ns,88
HeapVecComparison,vec,39,,,1059506867.0,ns,89
HeapVecComparison,vec,39,,,1071118960.0,ns,90
HeapVecComparison,vec,39,,,1083300673.0,ns,91
HeapVecComparison,vec,39,,,1095060542.0,ns,92
HeapVecComparison,vec,39,,,1107142205.0,ns,93
HeapVecComparison,vec,39,,,1118803581.0,ns,94
HeapVecComparison,vec,39,,,1130679999.0,ns,95
HeapVecComparison,vec,39,,,1142926161.0,ns,96
HeapVecComparison,vec,39,,,1154549245.0,ns,97
HeapVecComparison,vec,39,,,1166955296.0,ns,98
HeapVecComparison,vec,39,,,1178285701.0,ns,99
HeapVecComparison,vec,39,,,1190239665.0,ns,100
